City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Canico,PT,77.13,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
478,Dalbandin,PK,83.37,overcast clouds,28.8947,64.4101,Gidaan Guest House
479,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
480,Nyuzen,JP,67.46,overcast clouds,36.9333,137.5,Ribon Adult Day Care
481,Nago,JP,81.45,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
482,Pemba,MZ,77.83,clear sky,-12.974,40.5178,Guesthouse Samotina
483,Poum,NC,74.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
489,Tahta,EG,84.92,clear sky,26.7693,31.5021,مصطفي عساف
490,Cascais,PT,73.26,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
491,Chongwe,ZM,78.33,clear sky,-15.3292,28.682,Grakas Lodge
492,Port-Gentil,GA,78.03,overcast clouds,-0.7193,8.7815,Fengshui Residence
495,Los Llanos De Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,Valle Aridane
496,Chiredzi,ZW,81.73,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
499,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Anloga,GH,80.65,broken clouds,5.7947,0.8973,Pin Drop Hotel
502,Richards Bay,ZA,74.43,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
503,Alappuzha,IN,79.9,overcast clouds,9.49,76.3264,Panoramic Sea Resort
504,Torbay,CA,63.75,fog,47.6666,-52.7314,Gallows Cove
509,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
511,Chalchihuites,MX,66.36,overcast clouds,23.4833,-103.8833,Hotel chalchihuites
512,Praia Da Vitoria,PT,77.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
514,Yuncheng,CN,68.54,light rain,35.0231,110.9928,晋州快捷酒店
515,Goiatuba,BR,94.12,scattered clouds,-18.0125,-49.3547,Hotel Barrocos
516,Buala,SB,79.59,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
519,Sao Gabriel Da Cachoeira,BR,85.8,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
520,Guinticgan,PH,81.16,overcast clouds,11.5641,123.1236,Jeanette Resort Carles Iloilo B&B
521,Suba,PH,83.7,overcast clouds,10.8438,121.0102,Casita Bed and Grill
524,Hienghene,NC,71.13,light rain,-20.6833,164.9333,Ka Waboana Lodge
527,Dhidhdhoo,MV,80.94,light rain,6.8833,73.1,Dhidhoo beach
528,Chipata,ZM,78.28,broken clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
529,Corning,US,63.61,scattered clouds,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
530,Crotone,IT,73.35,few clouds,39.0851,17.1178,Helios Hotel
531,Maragogi,BR,80.92,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
532,Grand Gaube,MU,73.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
533,Jishou,CN,75.61,light rain,28.3167,109.7167,7 Days Inn
535,Alto Araguaia,BR,94.48,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
537,Alexandria,EG,75.2,clear sky,31.2156,29.9553,Royal Crown Hotel
