City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Esperance,AU,-33.8667,121.9,57.04,88,92,14.81,light rain
291,Naruja,GE,41.9069,41.9542,59.32,95,98,2.66,overcast clouds
292,Uyuni,BO,-20.4597,-66.825,64.81,15,34,14.41,scattered clouds
293,Gisborne,NZ,-38.6533,178.0042,42.94,86,3,5.21,clear sky
294,Guerrero Negro,MX,27.9769,-114.0611,75.31,63,0,2.95,clear sky
295,Maraba,BR,-5.3686,-49.1178,93.38,49,40,4.61,scattered clouds
296,Erdenet,MN,49.0333,104.0833,38.55,86,100,4.0,moderate rain
297,Savalou,BJ,7.9281,1.9756,81.12,81,66,3.4,light rain
298,Mocuba,MZ,-16.8392,36.9856,76.32,58,27,7.99,scattered clouds
299,Tomatlan,MX,19.9333,-105.25,78.19,84,100,2.68,overcast clouds
300,Sur,OM,22.5667,59.5289,85.44,71,100,9.71,overcast clouds
301,Sibolga,ID,1.7427,98.7792,76.77,81,100,2.75,overcast clouds
302,Severnyy,RU,50.677,36.5532,44.64,81,0,6.71,clear sky
303,Manta,EC,-0.95,-80.7333,76.78,78,75,9.22,broken clouds
304,Adolfo Lopez Mateos,MX,28.4667,-107.3,63.93,41,0,5.55,clear sky
305,Lunino,RU,53.5918,45.2271,50.92,84,55,2.06,broken clouds
306,Kelc,CZ,49.4784,17.8153,57.96,63,66,4.68,broken clouds
307,Borger,NL,52.9233,6.7931,60.96,78,100,13.91,light rain
308,Pacific Grove,US,36.6177,-121.9166,83.16,54,1,1.01,clear sky
309,Upata,VE,8.0086,-62.3989,88.97,40,42,6.64,scattered clouds
310,Stepnogorsk,KZ,52.3544,71.8869,35.28,82,99,15.1,overcast clouds
311,Dhadar,IN,28.3305,75.0632,90.14,49,92,6.2,overcast clouds
312,Norman Wells,CA,65.282,-126.8329,39.24,87,75,8.05,broken clouds
313,Manavgat,TR,36.7867,31.4431,73.81,61,0,0.76,clear sky
314,Estelle,US,29.8458,-90.1067,87.06,64,75,12.66,broken clouds
315,Zheshart,RU,62.0731,49.5733,43.81,95,100,3.69,overcast clouds
316,Redcliffe,AU,-27.2307,153.0973,58.14,67,45,5.75,fog
317,East Massapequa,US,40.6734,-73.4365,69.33,48,75,7.0,broken clouds
318,Sao Felix Do Xingu,BR,-6.6447,-51.995,93.49,41,72,1.92,broken clouds
319,Hofn,IS,64.2539,-15.2082,53.62,62,40,11.5,scattered clouds
320,Tual,ID,-5.6667,132.75,80.13,84,91,11.05,overcast clouds
321,Yuli,NG,9.6989,10.2744,82.63,70,100,4.7,overcast clouds
322,Tura,IN,25.5198,90.2201,75.51,88,59,1.5,broken clouds
323,Wewak,PG,-3.5534,143.6268,76.08,94,100,3.74,moderate rain
324,Vanavara,RU,60.34,102.2797,30.24,84,81,3.71,broken clouds
325,Los Andes,CL,-32.8337,-70.5983,74.01,24,3,6.26,clear sky
326,Beroroha,MG,-21.6667,45.1667,79.39,59,34,2.01,light rain
327,Araouane,ML,18.9048,-3.5265,101.44,12,78,8.7,broken clouds
328,Lulea,SE,65.5842,22.1547,48.27,93,75,17.27,broken clouds
329,Coruripe,BR,-10.1256,-36.1756,82.26,68,19,14.14,few clouds
330,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,10.36,overcast clouds
331,Bara,NG,10.3744,10.7288,84.52,58,77,5.64,broken clouds
332,Rawlins,US,41.7911,-107.2387,54.34,61,1,5.75,clear sky
333,Meulaboh,ID,4.1363,96.1285,76.06,84,100,4.72,overcast clouds
334,Buraydah,SA,26.326,43.975,88.25,12,4,2.62,clear sky
335,Lata,PT,40.1629,-8.3327,71.04,61,100,6.49,overcast clouds
336,Along,IN,28.1667,94.7667,73.6,98,26,0.78,scattered clouds
337,Marsa Matruh,EG,31.3525,27.2453,73.94,64,22,11.1,few clouds
338,Talnakh,RU,69.4865,88.3972,20.37,94,86,1.86,overcast clouds
339,Nelson Bay,AU,-32.7167,152.15,57.96,94,86,8.81,overcast clouds
340,Rovnoye,RU,50.7765,46.0509,50.86,65,11,5.48,few clouds
341,Labuhan,ID,-6.8844,112.2051,78.53,72,99,7.76,overcast clouds
342,Kuusamo,FI,65.9667,29.1833,42.84,81,0,9.22,clear sky
343,Cabo San Lucas,MX,22.8909,-109.9124,89.62,60,1,1.01,clear sky
344,Nogliki,RU,51.8333,143.1667,43.92,77,0,10.8,clear sky
345,Rurrenabaque,BO,-14.4413,-67.5278,98.49,44,40,4.61,scattered clouds
